TRNO,Cultivar,EC,Date,DAP,Tank Vol (L),No. Plants,TN (mg/L),NH4 (mg/L),NO3 (mg/L),P (mg/L),K (mg/L),N_%_Shoot,N_%_Root,P_%_Shoot,P_%_Root,K_%_Shoot,K_%_Root,N_initial (g),P_initial (g),K_initial (g),A+B (mL),HNO3 (mL),KOH (mL),N_A+B (g),N_HNO3 (g),N_tot (g),N_cumul (g),DryRW (g),InFRtW (g),InDSM (g),InDRtW (g),TFW (g),SFW (g),RFW (g),SDW (g),RDW (g),CWAD (kg/ha),RWAD (kg/ha)
4,REX,1.6,22259,35.0,40.0,17.0,102.2,1.75,100.9,56.909922715,122.5,0.0402749999999999,0.0247,0.0087749999999999,0.0042,0.0939999999999999,0.02625,0.0,0.0,0.0,110.0,6.25,0.0,0.3933325,0.2625,0.6558325,18.769772887500004,0.8946,24.601,6.88,0.9753999999999998,,,,,,,
5,MUIR,1.6,22106,8.0,40.0,24.0,121.045,,,30.705,193.047625,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,4.6564,1.204,7.722,809.75,0.25,0.0,,,,,1.1502,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,127.0,127.0
5,MUIR,1.6,22108,12.0,40.0,24.0,121.045,7.28255,113.7669,30.705,192.536,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,0.0,0.5,1.0,,,,,1.1502,,0.0,0.0,15.84,0.04,15.8,10.77,12.26,1367.79,1557.02
5,MUIR,1.6,22110,14.0,40.0,21.0,110.765,6.3922,104.36615,28.445,173.19799999999998,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,1.5,0.0,0.25,,,,,1.1502,,0.0,0.0,16.68,0.91,15.77,10.6,11.89,1346.2,1510.03
5,MUIR,1.6,22112,16.0,40.0,21.0,122.285,6.3629,115.92495,29.565,191.952,0.0364499999999999,0.03,0.0056999999999999,0.00675,0.05535,0.04,0.0,0.0,0.0,1.75,0.0,3.5,,,,,1.1502,,0.0,0.0,40.52,17.96,22.56,11.44,11.97,1452.88,1520.19
5,MUIR,1.6,22115,19.0,40.0,21.0,120.94,4.35935,116.583,28.35,192.253,0.0347249999999999,0.03,0.0062749999999999,0.00675,0.05535,0.04,0.0,0.0,0.0,6.0,0.0,4.25,,,,,1.0224,,0.0333999999999998,0.0,117.56,86.51,31.05,14.23,12.19,1807.21,1548.13
5,MUIR,1.6,22117,21.0,40.0,18.0,117.435,1.6218,115.81,28.27,195.4835,0.033,0.03,0.0068499999999999,0.00675,0.066525,0.04,0.0,0.0,0.0,6.0,0.0,8.0,,,,,1.0224,,0.2399999999999993,0.0,268.96,229.29,39.67,18.87,12.88,2396.49,1635.76
5,MUIR,1.6,22119,23.0,40.0,18.0,121.22,0.0920499999999999,121.1248,30.46,202.464,0.0367499999999999,0.03,0.00765,0.00675,0.0776999999999999,0.04,0.0,0.0,0.0,10.25,9.5,0.0,,,,,1.0224,,0.94415,0.0,,,,,,,
5,MUIR,1.6,22122,26.0,40.0,18.0,99.785,0.0443999999999999,99.7387,23.365,130.829,0.0366249999999999,0.03,0.0074749999999999,0.00675,0.0903999999999999,0.04,0.0,0.0,0.0,31.25,27.5,0.0,,,,,1.0224,,2.229049999999999,0.0,,,,1.0,1.0,127.0,127.0
5,MUIR,1.6,22124,28.0,40.0,15.0,110.735,0.0275499999999999,110.70255,25.715,128.031,0.0365,0.03,0.0072999999999999,0.00675,0.088125,0.04,0.0,0.0,0.0,36.0,14.5,0.0,,,,,1.0224,,2.658333333333334,0.0487999999999996,,,,0.0001,1.1566666666666665,0.01,146.9
5,MUIR,1.6,22126,30.0,40.0,15.0,112.675,0.0274999999999999,112.64345,25.34,106.455,0.0373875,0.03,0.0100499999999999,0.00675,0.0858499999999999,0.04,0.0,0.0,0.0,26.75,14.5,0.0,,,,,0.8946,,4.517649999999998,0.2310500000000004,,,,0.0001,0.7866666666666671,0.01,99.91
5,MUIR,1.6,22129,33.0,40.0,15.0,107.725,0.02795,107.699,25.735,87.5695,0.0373875,0.03,0.0100499999999999,0.00675,0.09035,0.04,0.0,0.0,0.0,54.0,16.5,0.0,,,,,0.8946,,6.665649999999999,0.6445999999999998,,,,0.3233333333333323,0.8833333333333329,41.06,112.18
5,MUIR,1.6,22131,35.0,40.0,12.0,113.335,0.0253,113.3051,23.345,58.5065,0.038275,0.03,0.0127999999999999,0.00675,0.09485,0.04,0.0,0.0,0.0,34.75,6.25,0.0,,,,,0.8946,,8.615000000000002,1.0139714285714283,,,,3.066666666666668,1.1199999999999992,389.47,142.24
6,SKYPHOS,1.6,22196,8.0,40.0,24.0,119.56875,4.403449999999999,62.25035,28.769,184.8485,0.0387,0.0247,0.0060999999999999,0.0042,0.0542,0.02625,4.784,1.13,8.1328,47.0,0.0,3.0,,,,,1.1502,,1e-05,0.046571666666666,,,1,1.0,,127.0,
6,SKYPHOS,1.6,22199,12.0,40.0,24.0,102.6382,4.71685,97.92135,25.2565,180.805,0.0387,0.0247,0.0060999999999999,0.0042,0.0542,0.02625,0.0,0.0,0.0,5.75,0.0,6.75,,,,,1.1502,,0.0,0.03355,,,12.256666666666666,10.77,,1367.79,
6,SKYPHOS,1.6,22202,14.0,40.0,24.0,117.23695,4.632,112.60495,27.367,217.386,0.0387,0.0247,0.0060999999999999,0.0042,0.0542,0.02625,0.0,0.0,0.0,5.5,0.0,12.25,,,,,1.1502,,1e-05,1e-05,,,11.856666666666667,10.653333333333334,,1352.97,
